title,img_link
Toy Story (1995),https://posters.movieposterdb.com/13_05/1995/114709/s_114709_6645f9fc.jpg
Grumpier Old Men (1995),https://posters.movieposterdb.com/09_04/1995/113228/s_113228_b1f0e70e.jpg
Heat (1995),https://posters.movieposterdb.com/05_05/1995/0113277/s_17759_0113277_5a22ac5d.jpg
Seven (a.k.a. Se7en) (1995),https://posters.movieposterdb.com/10_02/1960/54296/s_54296_ef752890.jpg
"Usual Suspects, The (1995)",https://posters.movieposterdb.com/09_04/2009/1240976/s_1240976_20cffb6c.jpg
From Dusk Till Dawn (1996),https://posters.movieposterdb.com/21_04/1996/116367/s_116367_fed9ee71.jpg
Bottle Rocket (1996),https://posters.movieposterdb.com/09_03/1996/115734/s_115734_792dce02.jpg
Braveheart (1995),https://posters.movieposterdb.com/05_08/1995/0112573/s_41798_0112573_9f89127b.jpg
Rob Roy (1995),https://posters.movieposterdb.com/06_02/1995/0114287/s_87798_0114287_37b07709.jpg
Desperado (1995),https://posters.movieposterdb.com/09_01/1995/112851/s_112851_ab6f57a0.jpg
Billy Madison (1995),https://posters.movieposterdb.com/15_05/1995/112508/s_112508_79f5298e.jpg
Clerks (1994),https://posters.movieposterdb.com/08_07/1994/109445/s_109445_e93f1806.jpg
Dumb & Dumber (Dumb and Dumber) (1994),https://posters.movieposterdb.com/22_01/2015/4925718/s_4925718_772582d1.jpg
Ed Wood (1994),https://posters.movieposterdb.com/05_05/1994/0109707/s_14227_0109707_41cddbb5.jpg
Star Wars: Episode IV - A New Hope (1977),https://posters.movieposterdb.com/21_01/1977/76759/s_76759_43e2730c.jpg
Pulp Fiction (1994),https://posters.movieposterdb.com/07_10/1994/110912/s_110912_55345443.jpg
Stargate (1994),https://posters.movieposterdb.com/12_10/1994/111282/s_111282_731d6c2f.jpg
Tommy Boy (1995),https://posters.movieposterdb.com/06_02/1995/0114694/s_87849_0114694_9b8569f3.jpg
Clear and Present Danger (1994),https://posters.movieposterdb.com/08_11/1994/109444/s_109444_e39100d7.jpg
Forrest Gump (1994),https://posters.movieposterdb.com/05_06/1994/0109830/s_21293_0109830_af6ba7a1.jpg
"Jungle Book, The (1994)",https://posters.movieposterdb.com/13_04/1989/283750/s_283750_cb98f813.jpg
"Mask, The (1994)",https://posters.movieposterdb.com/14_02/2007/984971/s_984971_4c606fbd.jpg
Dazed and Confused (1993),https://posters.movieposterdb.com/08_06/1993/106677/s_106677_83d7a8ed.jpg
"Fugitive, The (1993)",https://posters.movieposterdb.com/08_01/2006/953303/s_953303_4d00d753.jpg
